return	返却
accept	受け付ける
overview	概要
translate	翻訳する
platform	プラットフォーム
should	すべきです
Data Loss due To Unicode Conversion Errors	Unicode の変換エラーによるデータ喪失
Performance Implications of Using UTF-8	UTF-8 を使用することによる性能への影響
concept	概念
Writing Non-English Applications	非英語アプリケーションの作成
Events and Event Handling	イベントとイベント処理
Custom Event Summary	カスタムイベントの概要
Dynamic Event Handling	動的イベント処理
Event Handlers Chain	イベントハンドラの連鎖
event classes group page	イベントクラスグループ
XML-based resource system overview	XML に基づくリソースシステムの概要	XML-based resource system overview
Programming with Sizers	サイザーを用いたプログラミング
empty space	空白スペース
interface	インタフェース
portability	移植性
third party	サードパーティー
How Events are Processed	イベント処理の仕組み
